operator,constant,found,total,elapsed_ms
Plus_ArcCos_ArcSin,I,2,35,5.86ms
Plus_ArcCos_ArcCos,1,5,35,19.06ms
Plus_ArcCos_ArcCos,E,3,35,3.53ms
Plus_ArcCos_ArcCos,Pi,3,35,3.47ms
Plus_ArcCos_ArcCos,-1,3,35,3.49ms
Plus_ArcCos_ArcCos,2,3,35,3.52ms
Plus_ArcCos_ArcCos,0,3,35,6.70ms
Plus_ArcCos_ArcCos,I,2,35,3.54ms
Plus_ArcCos_ArcTan,1,4,35,17.33ms
Plus_ArcCos_ArcTan,E,3,35,7.70ms
Plus_ArcCos_ArcTan,Pi,3,35,7.84ms
Plus_ArcCos_ArcTan,-1,3,35,7.26ms
Plus_ArcCos_ArcTan,2,3,35,7.48ms
Plus_ArcCos_ArcTan,0,3,35,17.68ms
Plus_ArcCos_ArcTan,I,2,35,4.50ms
Plus_ArcCos_Sinh,1,4,35,12.01ms
Plus_ArcCos_Sinh,E,3,35,5.32ms
Plus_ArcCos_Sinh,Pi,3,35,5.30ms
Plus_ArcCos_Sinh,-1,3,35,5.43ms
Plus_ArcCos_Sinh,2,3,35,5.48ms
Plus_ArcCos_Sinh,0,3,35,14.04ms
Plus_ArcCos_Sinh,I,2,35,5.53ms
Plus_ArcCos_Cosh,1,4,35,12.54ms
Plus_ArcCos_Cosh,E,3,35,5.40ms
Plus_ArcCos_Cosh,Pi,3,35,5.47ms
Plus_ArcCos_Cosh,-1,3,35,5.78ms
Plus_ArcCos_Cosh,2,3,35,5.52ms
Plus_ArcCos_Cosh,0,2,35,5.42ms
Plus_ArcCos_Cosh,I,2,35,5.57ms
Plus_ArcCos_Tanh,1,4,35,12.92ms
Plus_ArcCos_Tanh,E,3,35,5.75ms
Plus_ArcCos_Tanh,Pi,3,35,5.72ms
Plus_ArcCos_Tanh,-1,3,35,5.57ms
Plus_ArcCos_Tanh,2,3,35,5.72ms
Plus_ArcCos_Tanh,0,3,35,14.89ms
Plus_ArcCos_Tanh,I,2,35,6.11ms
Plus_ArcCos_ArcSinh,1,4,35,17.10ms
Plus_ArcCos_ArcSinh,E,3,35,7.20ms
Plus_ArcCos_ArcSinh,Pi,3,35,7.06ms
Plus_ArcCos_ArcSinh,-1,3,35,6.80ms
Plus_ArcCos_ArcSinh,2,3,35,7.20ms
Plus_ArcCos_ArcSinh,0,3,35,17.78ms
Plus_ArcCos_ArcSinh,I,2,35,7.70ms
Plus_ArcCos_ArcCosh,1,5,35,59.44ms
Plus_ArcCos_ArcCosh,E,3,35,8.42ms
Plus_ArcCos_ArcCosh,Pi,3,35,8.25ms
Plus_ArcCos_ArcCosh,-1,3,35,8.07ms
Plus_ArcCos_ArcCosh,2,3,35,8.23ms
Plus_ArcCos_ArcCosh,0,2,35,8.46ms
Plus_ArcCos_ArcCosh,I,2,35,9.00ms
Plus_ArcCos_ArcTanh,1,4,35,9.94ms
Plus_ArcCos_ArcTanh,E,3,35,7.82ms
Plus_ArcCos_ArcTanh,Pi,3,35,7.17ms
Plus_ArcCos_ArcTanh,-1,3,35,4.59ms
Plus_ArcCos_ArcTanh,2,3,35,7.08ms
Plus_ArcCos_ArcTanh,0,3,35,17.64ms
Plus_ArcCos_ArcTanh,I,2,35,7.15ms
Plus_ArcCos_Inv,1,4,35,6.31ms
Plus_ArcCos_Inv,E,3,35,4.99ms
Plus_ArcCos_Inv,Pi,3,35,4.93ms
Plus_ArcCos_Inv,-1,3,35,4.81ms
Plus_ArcCos_Inv,2,3,35,5.00ms
Plus_ArcCos_Inv,0,2,35,3.15ms
Plus_ArcCos_Inv,I,2,35,4.95ms
